Path,n
1960-Article-OtherPublisher-SingleAuthored,1
1960-Book-OtherPublisher-CoAuthored-MaleCoAuthor,5
1960-Book-OtherPublisher-SingleAuthored,2
1970-Article-OtherPublisher-SingleAuthored,5
1970-Article-TopPublisher-CoAuthored-MaleCoAuthor,1
1970-Book-OtherPublisher-CoAuthored-MaleCoAuthor,3
1970-Book-OtherPublisher-SingleAuthored,5
1970-Book-TopPublisher-CoAuthored-MaleCoAuthor,1
1970-Book-TopPublisher-SingleAuthored,11
1980-Article-OtherPublisher-CoAuthored-MaleCoAuthor,1
1980-Article-OtherPublisher-SingleAuthored,15
1980-Article-TopPublisher-CoAuthored-MaleCoAuthor,6
1980-Article-TopPublisher-SingleAuthored,3
1980-Book-OtherPublisher-CoAuthored-MaleCoAuthor,11
1980-Book-OtherPublisher-CoAuthored-FemaleCoAuthor,2
1980-Book-OtherPublisher-SingleAuthored,20
1980-Book-TopPublisher-CoAuthored-MaleCoAuthor,6
1980-Book-TopPublisher-SingleAuthored,8
1990-Article-OtherPublisher-CoAuthored-MaleCoAuthor,22
1990-Article-OtherPublisher-CoAuthored-FemaleCoAuthor,3
1990-Article-OtherPublisher-SingleAuthored,58
1990-Article-TopPublisher-CoAuthored-MaleCoAuthor,37
1990-Article-TopPublisher-CoAuthored-FemaleCoAuthor,8
1990-Article-TopPublisher-SingleAuthored,41
1990-Book-OtherPublisher-CoAuthored-MaleCoAuthor,29
1990-Book-OtherPublisher-CoAuthored-FemaleCoAuthor,10
1990-Book-OtherPublisher-SingleAuthored,69
1990-Book-TopPublisher-CoAuthored-MaleCoAuthor,35
1990-Book-TopPublisher-CoAuthored-FemaleCoAuthor,6
1990-Book-TopPublisher-SingleAuthored,76
2000-Article-OtherPublisher-CoAuthored-MaleCoAuthor,139
2000-Article-OtherPublisher-CoAuthored-FemaleCoAuthor,34
2000-Article-OtherPublisher-SingleAuthored,320
2000-Article-TopPublisher-CoAuthored-MaleCoAuthor,77
2000-Article-TopPublisher-CoAuthored-FemaleCoAuthor,13
2000-Article-TopPublisher-SingleAuthored,105
2000-Book-OtherPublisher-CoAuthored-MaleCoAuthor,58
2000-Book-OtherPublisher-CoAuthored-FemaleCoAuthor,22
2000-Book-OtherPublisher-SingleAuthored,129
2000-Book-TopPublisher-CoAuthored-MaleCoAuthor,120
2000-Book-TopPublisher-CoAuthored-FemaleCoAuthor,13
2000-Book-TopPublisher-SingleAuthored,236
2010-Article-OtherPublisher-CoAuthored-MaleCoAuthor,175
2010-Article-OtherPublisher-CoAuthored-FemaleCoAuthor,33
2010-Article-OtherPublisher-SingleAuthored,209
2010-Article-TopPublisher-CoAuthored-MaleCoAuthor,26
2010-Article-TopPublisher-CoAuthored-FemaleCoAuthor,6
2010-Article-TopPublisher-SingleAuthored,26
2010-Book-OtherPublisher-CoAuthored-MaleCoAuthor,43
2010-Book-OtherPublisher-CoAuthored-FemaleCoAuthor,5
2010-Book-OtherPublisher-SingleAuthored,56
2010-Book-TopPublisher-CoAuthored-MaleCoAuthor,35
2010-Book-TopPublisher-CoAuthored-FemaleCoAuthor,16
2010-Book-TopPublisher-SingleAuthored,106
